Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Andorra,AND,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,41191.7854116591,39769.5614582283,39143.6896810315,40914.7285238633,42140.9617984695,44107.9563309965,44430.7440094935,45133.7136149095,45887.3021264552,..
Andorra,AND,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Population ages 15-64, total",SP.POP.1564.TO,12233380,12671465,13130630,13610932,14113726,14618994,15149230,15705184,16287751,..
Angola,AGO,"Labor force, total",SL.TLF.TOTL.IN,9910112,10270167,10646623,11034611,11437925,11848410,12268842,12705486,13164276,13643732
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3579.96008145585,3748.44944492387,3796.88262179845,3843.19824090134,3748.32062295152,3530.30942248245,3409.92928470159,3233.9070176255,3103.49604528244,..
Angola,AGO,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,89.1063003540039,..,..,..,..,..,..,..,..,..
Angola,AGO,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,84.371696472168,..,..,..,..,..,..,..,..,..
Angola,AGO,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,68.3249969482422,..,..,..,..,..,..,..,..,..
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,66.0301132202148,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Population ages 15-64, total",SP.POP.1564.TO,61127,62130,63106,64003,64812,65443,66028,66552,67002,..
Antigua and Barbuda,ATG,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,12618.0791316619,12876.8892883551,12644.6890235017,12976.3314609289,13328.1466479391,13917.9511172561,14220.5021076325,15134.8841569088,15703.028475991,..
Antigua and Barbuda,ATG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,98.9499969482422,..,..,..,98.9499969482422,..,..,..,..,..
Argentina,ARG,"Population ages 15-64, total",SP.POP.1564.TO,26358138,26687229,27002574,27315081,27630346,27924237,28225466,28530443,28833291,..
Argentina,ARG,"Labor force, total",SL.TLF.TOTL.IN,18557537,18770957,18931350,19009264,19360544,19696452,20035267,20551682,20772672,20977426
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10883.315359489,10649.8372874572,10784.6306992057,10398.6940069464,10568.1578087083,10239.4813479933,10404.2635134208,10043.5085520823,9729.14157413904,..
Argentina,ARG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,83.6411972045898,82.4685974121094,82.6486968994141,82.2104034423828,..,..,79.0328979492188,79.5768966674805,80.4072036743164,..
Argentina,ARG,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,66.609001159668,66.4217987060547,66.2397003173828,65.1464004516602,..,..,65.1929016113281,66.0856018066406,66.4030990600586,..
Argentina,ARG,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,51.4772987365723,50.8647994995117,49.7816009521484,49.8270988464355,..,..,48.494800567627,48.4580001831055,48.7499008178711,..
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.1083297729492,99.1052322387695,99.1219482421875,98.9938888549805,99.1799621582031,99.1250076293945,..,99.0038681030273,..,..
Armenia,ARM,"Population ages 15-64, total",SP.POP.1564.TO,2004812,2009721,2014458,2018089,2019877,2018925,2015691,2010536,2003874,..
Armenia,ARM,"Labor force, total",SL.TLF.TOTL.IN,1341719,1351021,1360350,1348081,1334775,1310061,1303653,1303093,1303565,1302781
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3370.55110340079,3603.59584818863,3705.35739639054,3819.21778719537,3923.71650214361,3917.37967565773,4198.79474867504,4406.70643383294,4732.06950615408,..
Armenia,ARM,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,69.1136016845703,64.9845962524414,70.3220977783203,74.5145034790039,76.8643035888672,74.6239013671875,73.609001159668,74.0613021850586,..,..
Armenia,ARM,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,62.0713996887207,55.6805000305176,61.6198997497559,62.1060981750488,59.613899230957,58.847599029541,59.2196006774902,57.0928993225098,..,..
Armenia,ARM,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,33.3571014404297,30.3377990722656,31.0592994689941,33.7587013244629,42.3273010253906,38.7667007446289,34.5444984436035,33.9278984069824,..,..
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.7444076538086,..,..,..,..,..,99.7360687255859,..,..,..
Aruba,ABW,"Population ages 15-64, total",SP.POP.1564.TO,70295,70753,71292,71792,72162,72506,72646,72659,72635,..
Aruba,ABW,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,24233.0010815022,23781.2572983852,24635.764947531,24563.2343250816,25822.2513745534,26231.0266768348,26630.2052807325,..,..,..
Aruba,ABW,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,97.8074188232422,..,..
Australia,AUS,"Population ages 15-64, total",SP.POP.1564.TO,15042394,15250481,15455787,15623408,15780014,15943398,16121831,16276948,16436921,..
Australia,AUS,"Labor force, total",SL.TLF.TOTL.IN,11870404,12032218,12206719,12350344,12585539,12742247,12989073,13254463,13414956,13533345
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,52567.7772438131,53682.0472210506,54129.9390516228,54679.420178522,55079.8921159501,55728.6844626056,56095.1863203728,56864.3323797642,57071.1682951365,..
Australia,AUS,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,86.6399993896484,86.8600006103516,82.5800018310547,..,..,..,..,..,..,..
Australia,AUS,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,82.5199966430664,81.9700012207031,76.1399993896484,..,..,..,..,..,..,..
Australia,AUS,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,64.7799987792969,65.4400024414063,52.1399993896484,..,..,..,..,..,..,..
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Population ages 15-64, total",SP.POP.1564.TO,5658054,5678351,5704617,5740267,5794026,5846595,5877874,5896670,5908801,..
Austria,AUT,"Labor force, total",SL.TLF.TOTL.IN,4305238,4352557,4394140,4412653,4460833,4537043,4566743,4601213,4613292,4622725
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,48065.3165411898,48172.2381151452,47901.366129632,47842.7489082353,47789.3850154389,48259.9375956173,49112.7328902854,50056.7378897051,50654.7301482217,..
Austria,AUT,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,75.9107971191406,76.5962982177734,76.9093017578125,76.7985992431641,76.8852005004883,76.8841018676758,77.415901184082,76.7076034545898,76.6993026733398,..
Austria,AUT,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,67.0728988647461,67.2621002197266,67.2738037109375,64.2526016235352,63.8912010192871,63.9089012145996,63.6701011657715,63.9790000915527,63.5544013977051,..
Austria,AUT,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,37.8450012207031,37.2380981445313,36.8368988037109,36.8036994934082,36.3577995300293,37.4990005493164,36.9735984802246,36.9096984863281,36.8032989501953,..
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Population ages 15-64, total",SP.POP.1564.TO,6565755,6665639,6749582,6822750,6888625,6930695,6969033,7001102,7027518,..
Azerbaijan,AZE,"Labor force, total",SL.TLF.TOTL.IN,4543044,4627397,4702693,4791071,4875807,4969726,5033862,5091052,5103137,5114769
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5676.45041334095,5724.92083164488,5981.58065567077,6072.64612808803,6063.7178320377,5812.60867097356,5764.69251955865,5800.71518438101,5879.99265435911,..
Azerbaijan,AZE,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.7786331176758,99.7757720947266,99.7893600463867,99.7889862060547,99.7880630493164,99.7900619506836,99.7912292480469,..,..,..
"Bahamas, The",BHS,"Population ages 15-64, total",SP.POP.1564.TO,242243,246657,251043,255308,259391,263690,267482,270941,274355,..
"Bahamas, The",BHS,"Labor force, total",SL.TLF.TOTL.IN,197179,201134,205037,208884,212614,216368,219835,223064,226287,229386
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,28248.8497757498,28799.9214118515,27676.8974095953,27620.0955343064,27519.8480761179,27370.2025435648,27113.6753665173,27261.2144822129,27477.9598590968,..
"Bahamas, The",BHS,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Population ages 15-64, total",SP.POP.1564.TO,990587,1006065,1015656,1029181,1053939,1101674,1162183,1229175,1292628,..
Bahrain,BHR,"Labor force, total",SL.TLF.TOTL.IN,726937,739585,747319,758359,777895,817831,869405,926959,978624,1022526
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,20516.5883157314,20924.7104304295,21805.1173792575,22395.3060349444,22435.7339408968,22336.7799258335,22128.4326997504,21478.1144253022,20913.0679108355,..
Bahrain,BHR,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,97.0666809082031,97.4038925170898,97.4641876220703,..,..
Bangladesh,BGD,"Population ages 15-64, total",SP.POP.1564.TO,95108894,96907350,98736976,100613040,102533145,104436612,106382029,108327324,110227819,..
Bangladesh,BGD,"Labor force, total",SL.TLF.TOTL.IN,58194620,59275453,60370738,61480265,62595846,63698450,67454903,68791250,70009461,71180785
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,822.188338841729,865.749891053711,907.257418044388,951.314821042494,1002.38873193637,1062.04015786301,1127.27176833347,1203.21626488899,1287.82142528431,..
Bangladesh,BGD,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,80.0941009521484,..,..,77.5199966430664,79.6378021240234,..,..,..
Bangladesh,BGD,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,55.809700012207,..,..,51.310001373291,47.6067008972168,..,..,..
Bangladesh,BGD,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,63.4323997497559,..,..,57.5299987792969,61.4351005554199,..,..,..
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,58.7691802978516,57.8607482910156,61.0155410766602,61.0932998657227,65.1373291015625,72.7587203979492,72.8929672241211,73.9122009277344,74.6844635009766,..
Barbados,BRB,"Population ages 15-64, total",SP.POP.1564.TO,189797,190326,190698,190998,191258,191501,191630,191632,191499,..
Barbados,BRB,"Labor force, total",SL.TLF.TOTL.IN,153293,151726,154227,150315,152361,154871,155167,155314,155296,155113
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,15900.0236759993,15787.8040183292,15533.1063398711,15484.9468972176,15836.3824984929,16202.1161947683,16254.2404265057,16136.9099326335,16099.8284121592,..
Barbados,BRB,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,99.5999984741211,..,..,..,..,..,..
Belarus,BLR,"Population ages 15-64, total",SP.POP.1564.TO,6723813,6689976,6653923,6618651,6587087,6562720,6526921,6476178,6415010,..
Belarus,BLR,"Labor force, total",SL.TLF.TOTL.IN,5098113,5103198,5106387,5107036,5106430,5106665,5097017,5087320,5036882,4987230
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6365.3780531651,6478.70481089972,6542.67841209401,6649.64932834342,6384.81714492541,6215.70186550089,6375.28892983321,6586.2977396088,6678.5090648389,..
Belarus,BLR,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,99.7565612792969,..,..
Belgium,BEL,"Population ages 15-64, total",SP.POP.1564.TO,7246345,7271587,7282454,7291041,7311715,7321395,7323263,7331122,7342357,..
Belgium,BEL,"Labor force, total",SL.TLF.TOTL.IN,4867090,4902316,4957316,4983423,5000910,5005505,5037405,5089752,5101824,5105726
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,44309.6253696963,44361.2084743341,44355.3694469554,44855.9578724323,45503.3519914323,45942.8300007682,46637.5108912501,47116.3514784291,47540.9334745946,..
Belgium,BEL,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,76.0338973999023,75.8395004272461,75.8061981201172,75.6820983886719,74.9222030639648,74.9630966186523,75.3240966796875,75.0718002319336,74.8189010620117,..
Belgium,BEL,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,61.4477005004883,61.3033981323242,61.3639984130859,60.5102996826172,60.3442993164063,59.2173004150391,58.9626007080078,59.4768981933594,59.3488006591797,..
Belgium,BEL,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,31.415599822998,31.157600402832,31.127799987793,30.6067008972168,29.3747005462646,28.8955001831055,28.4410991668701,27.7000007629395,27.8927993774414,..
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Population ages 15-64, total",SP.POP.1564.TO,201423,208298,215172,222115,229122,235650,242298,248934,255401,..
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,136111,140788,145520,151507,156875,164047,168345,173515,178514,183771
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4250.31974418125,4253.09941001094,4212.33173688301,4270.94510387408,4300.55933820061,4216.97726841129,4211.44674509465,4217.50694486609,4149.86190551309,..
Belize,BLZ,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,87.7099990844727,83.7534027099609,85.7120971679688,85.6400985717773,84.5448989868164,82.7901992797852,..,..,..
Belize,BLZ,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,74.0599975585938,68.0495986938477,69.4642028808594,69.7922973632813,70.1952972412109,67.5901031494141,..,..,..
Belize,BLZ,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,63.2299995422363,56.6837005615234,56.6591987609863,56.3297996520996,57.5359001159668,57.7873001098633,..,..,..
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Population ages 15-64, total",SP.POP.1564.TO,5015984,5172095,5336021,5506538,5683008,5859860,6044385,6236233,6435120,..
Benin,BEN,"Labor force, total",SL.TLF.TOTL.IN,3771584,3887618,4007569,4132698,4264772,4397957,4535767,4678297,4833491,4993954
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1037.74703995475,1057.66774031197,1102.52743002686,1140.44775377804,1128.99638029977,1134.92453620908,1166.76057483953,1211.31656294328,1259.80807064558,..
Benin,BEN,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,66.1744995117188,..,..,..,..,..,..,..,..,..
Benin,BEN,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,45.0690994262695,..,..,..,..,..,..,..,..,..
Benin,BEN,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,78.0141983032227,..,..,..,..,..,..,..,..,..
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,32.9488182067871,..,..,..,..,..,42.3624000549316,..,..
Bermuda,BMU,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,86001.1711723395,81547.8552352009,79251.7816637313,..,..,..,..,..,..,..
Bermuda,BMU,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Population ages 15-64, total",SP.POP.1564.TO,446294,456420,466743,476947,486789,496651,505910,514690,523228,..
Bhutan,BTN,"Labor force, total",SL.TLF.TOTL.IN,320350,315281,325213,323981,348432,356732,364557,371964,380085,388490
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2411.02893205206,2504.5058910519,2526.43366495453,2639.60088264112,2780.81953888315,2970.76650663428,3072.02029929191,3128.00090464634,..,..
Bhutan,BTN,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,55.3175582885742,..,..,..,..,66.561149597168,..,..,..
Bolivia,BOL,"Population ages 15-64, total",SP.POP.1564.TO,6095372,6222544,6350486,6480521,6613025,6742195,6874595,7008806,7142279,..
Bolivia,BOL,"Labor force, total",SL.TLF.TOTL.IN,4836945,4744597,4875374,5124437,4925990,5080592,5293299,5631725,5735836,5838629
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2024.11732438255,2094.02421738306,2201.39684777688,2286.01319823426,2361.05658121979,2425.56164473958,2490.95631434671,2559.51126345152,2579.89911864832,..
Bolivia,BOL,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,81.5279006958008,85.513801574707,81.7247009277344,81.9526977539063,80.0559997558594,78.0964965820313,77.8863983154297,79.4982986450195,82.597900390625,..
Bolivia,BOL,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,65.7531967163086,67.4462966918945,64.3691024780273,66.548698425293,65.0156021118164,63.3335990905762,63.2831001281738,66.7072982788086,68.8632965087891,..
